,Unnamed: 0,qt_title,qt_content,ans_content
116,116,프로세싱 +아두이노 코드 질문 드립니다. 두가지 코드 파일을 하나로 통일하려고 하는데 잘 안됩니다... 제발 도와주세요,"프로세싱이랑 아두이노를 이용해서 작업을 하고 있는 중에 잘 모르는 것이 생겼습니다. 
아래의 첫번째 코드와 두번째 코드를 Scene형식으로 합쳐서 아두이노 스위치를 누르면 첫번째 코드(ellipse가 떨어지는 코드) -> 두번째 코드(포토부스코드) 로 전환되게 만들고 싶습니다. 그런데 둘 다 cam = newCapture라는 함수를 써서 통일되게 합치지 못하고 있습니다.  두 코드를 scene으로 합치려면 어떻게 해야 할까요... 도와주세요




import gab.opencv.*;
import processing.video.*;
import java.awt.*;

Capture cam;
OpenCV opencv;

int ballNum = 300;
float ballX[] = new float[ballNum];
float ballY[] = new float[ballNum];
float speedX[] = new float[ballNum];
float speedY[] = new float[ballNum];
float gravity = 0.15;

PImage img;
int scene = 1;
int lastTime = 0;
int count = 0;


int pixelNum;
int framePixel[];
int threshold =100;


void setup() {
  size(640, 480);
  noStroke();
  String[] cameras = Capture.list();
  printArray(cameras);
  cam = new Capture(this, cameras[0]);
  cam.start();
  pixelNum = width*height;
  framePixel = new int[pixelNum];
  for (int i=0; i<ballNum; i++) {
    ballX[i] = random(width);
    ballY[i] = random(height/2);
    speedX[i] = random(-0.2, 0.2);
    speedY[i] = random(0, 14);
  }
}


void draw() {
  if (cam.available() == true) {
    cam.read();
    loadPixels();
    for (int i =0; i< pixelNum; i++) {
      framePixel[i] = int(brightness(cam.pixels[i]));
      if (framePixel[i] < threshold) {
        pixels[i] = color(0);
      } else {
        pixels[i] = color(255);
      }
    }
    updatePixels();

    for (int i=0; i< ballNum; i++) {
      int tempX = int(ballX[i]);
      int tempY = int(ballY[i]);
      int index = tempY*cam.width+tempX;
      if (index >= 0 && index < pixelNum) {
        if (brightness(framePixel[index]) < threshold) {
          speedX[i] = random(-3.3, 3.3);
          speedY[i] = random(-4, -2.5);
        }
      }
      speedY[i] += gravity;
      ballX[i] += speedX[i];
      ballY[i] += speedY[i];
      if (ballY[i]>height) {
        ballX[i] = random(width);
        ballY[i] = -random(height/2);
        speedX[i] = random(-0.2, 0.2);
        speedY[i] = random(0, 14);
      }
      //fill(237, 44, 70);
      fill(random(256), random(256), random(256));
      ellipse(ballX[i], ballY[i], 15, 15);
    }
  }
}

----------------------------------
여기까지가 random ellipse가 캠으로 비쳐진 모습에 비처럼 떨어져서 손으로 받을 수 있는  코드입니다. 



import gab.opencv.*;
import processing.video.*;
import java.awt.*;

Capture cam;
OpenCV opencv;
PImage img;
int scene = 1;
int lastTime = 0;
int count = 0;

void setup() {
  size(640,480);
  background(255);
  cam = new Capture(this, 640/2, 480/2);
  opencv = new OpenCV(this,640/2,480/2);
  opencv.loadCascade(OpenCV.CASCADE_FRONTALFACE);
  img = loadImage(""mask.png"");
  cam.start();
}

void draw() {
  if (cam.available() ==true) {
    cam.read();
  }
  switch(scene) {
  case 1:
    scale(2);
    opencv.loadImage(cam);
    image(cam, 0, 0);
    Rectangle[] faces = opencv.detect();
    noFill();
    strokeWeight(3);
    textAlign(CENTER, CENTER);
    text(""place your face in the red square."", 330/2, 40/2);
    for (int i=0; i<faces.length; i++) {
      println(faces[0].x+"",""+faces[0].y);
      if (faces[0].x>=220/2&&faces[0].x<=260/2&&faces[0].y>140/2&&faces[0].y<=180/2) {
        stroke(255, 255, 0);
        text(9-second()%10, 320/2, 80/2);
        if (second()%10==0) {
          noStroke();
          noFill();
          saveFrame(""data/face.jpg"");
          delay(1000);
          lastTime=millis();
          background(255);
          scene=2;
        }
      } else {
        stroke(255, 10, 10, 200);
      }
    }
    rect(240/2, 160/2, 160/2, 160/2);
    break;

  case 2:
    PImage face = loadImage(""face.jpg"");
    image(face.get(180, 90, 280, 280), 180, 90, 280, 280);
    image(img, 0, 0, width, height);
    if (millis()-lastTime>=3000) {
      saveFrame(""myPhoto""+nf(count, 3)+"".jpg"");
      count++;
      scene=1;
    }
    break;
  }
  println(scene);
}
---------------
여기까지가 포토부스처럼 사진을 찍고 저장할 수 있는 코드입니다. ","인터랙티브 아트 코딩 즉, 미디어아트 코딩 관련 대표적인 언어는 프로세싱, P5.js 등입니다. 다음의 링크 중 프로세싱, P5.js와 함께 피지컬컴퓨팅(==>아두이노 연계) 관련 도서가 도움이 되었으면 합니다. 특히, <프로세싱 & 아두이노 연동>을 참고하시면 도움이 될 것 같네요. https://www.codingbooks.co.kr/"
117,117,아두이노와 프로세싱 함께쓸때,"아두이노 회로에서 버튼을 설치하고, 프로세싱에서 기존에 설정된 이미지를 버튼을 눌렀을때 교체되게 하고 싶은데 코드를 어떻게 짜야될까요?","인터랙티브 아트 코딩 즉, 미디어아트 코딩 관련 대표적인 언어는 프로세싱, P5.js 등입니다. 다음의 링크 중 프로세싱, P5.js와 함께 피지컬컴퓨팅(==>아두이노 연계) 관련 도서가 도움이 되었으면 합니다. 특히, <프로세싱 & 아두이노 연동>을 참고하시면 도움이 될 것 같네요. 이미지 처리 교재는 23년 2월말 출판예정입니다. https://www.codingbooks.co.kr/"
118,118,아두이노 delay 질문입니다,"#include ""DHT.h"" 

#define DHTPIN 2
#define DHTTYPE DHT11
DHT dht(DHTPIN, DHTTYPE);

void setup() {
  Serial.begin(9600);
  dht.begin(); 
}

void loop() {
  delay(500);
  float t = dht.readTemperature(); 
  Serial.print(""T=""); 
  Serial.println(t);
  delay(500);
  float h = dht.readHumidity(); 
  Serial.print(""H=""); 
  Serial.println(h);
}

이 코드에서 딜레이를 한번만 써도 위 동작과 똑같이 출력되는 코드가 궁금합니다.
온도 뜨고 0.5초 뒤에 습도가 뜨고 이렇게여! 
delay를 두번쓰면 하나 하나 뜨는데 하나만 쓰니까 두개가 같이 뜨더라구요 ㅠ 도와주세요",채택율이 낮으면 좋은 답변이 달리지 않습니다.답변이 마음에 들지 않더라도 마감하지말고 모두 채택해서 좋은 채택율을 유지하세요채택율이 낮으면 본인만 손해입니다.
119,119,아두이노 프로그램을 못짜겠어요...,"프로그램을 못짜겠어요... ㅠㅠ
1번 핀부터 100번핀까지 100개의 LED가 장착되있다 가정후, 1번부터 10번까지 순서대로 led가 켜지고 모두 켜지면 다시 1번부터 100번까지 하나씩 꺼지는 프로그램을 못짜겠어요 ㅠㅠ. (지연시간은 100ms)

그리고. 저기서 1번부터 100번까지 순서대로 꺼지는게아니라 반대로 100번부터 1번까지 순서로 꺼지게하려면 어떤 방법으로 수정을 하나요?",0번핀과 1번핀은 업로드와 시리얼모니터에 사용하니 2번핀~101번 핀을 사용한다고 해보죠핀번호가 순서대로 되어 있으므로 배열을 사용하지 않고 핀을 직접 지정 할 수 있습니다.핀번호가 뒤죽박죽이라면 배열을 사용하는 것이 좋습니다.추가문의는 https://cafe.naver.com/circuitsmanual
120,120,아두이노 제발 알려주세요 ㅠㅠㅠ,"제발 아두이노 기초 알려주세요 ㅜㅜㅜ
1. pwm제어를 설명하시오

2.digitalWrite와 analogWrite의 차이점을 설명하시오

3. map함수 설명하시오

4. analogRead 명령 사용시 전압의 변환관계를 설명하시오
제발 부탁드립니당..ㅠㅠㅠ","1. pwm 제어란 쉽게 말해 전기를 껐다 켰다를 일정한 비율로 빠르게 반복해 평균 전압을 조절하는것을 말합니다.2. digitalWrite 는 끄고 켜는 두가지 동작만 할 수 있고 analogWrite는 0 부터 255 사이의 세기로 값을 출력할 수 있습니다. (이것을 pwm을 통해 조절합니다)3. map 함수는 어떤 값의 범위를 변환해주는 역할을 합니다. 예를 들어map(A0, 0, 1023, 0, 100);이렇게 코드를 짠다면 A0 핀으로 들어오는 0 ~ 1023 사이의 값을 0 ~ 100 사이의 값으로 변환하는 코드가 됩니다.4. 5v 를 기준으로 몇 v 가 들어오는지에 따라 0부터 1023 사이의 값으로 읽습니다."
121,121,아두이노 출력장치 문제 질문이요,"1.압력센서
2.피에조스피커
3.푸쉬버튼
4.포텐셔미터

이 넷중에 어떤게 출력장치인가요?","2번, 피에조 스피커가 출력 장치입니다.나머지 1번, 3번, 4번은 모두 입력 장치에 해당됩니다.."
122,122,아두이노 dht22질문,dht22센서를 달아서 블로그를 뒤젹거려 테스트를 해봤는데요. 싹 다 온도가 129도에 습도가 99도라고 뜨더라고요. 아두이노 듀에를 쓰는데 작동 잘되는 소스랑 라이브러리좀 알려주세요...,아두이노 우노 보드와 온습도센서 DHT-22 .. : 네이버블로그 (naver.com)이렇게 TEST했다고 하는데요...그대로 해보시죠?온습도 온도센서의 핀이 7번으로 지정했다고 하네요. 그런것 동일한지? 정확하게 확인하셔야 할겁니다.[Aosong] [AM2302] 정밀 온습도센서(DHT22) 온도/습도/환경센서 > 온도/습도 > 온도/습도센서 (주)엘레파츠 - 엘레파츠 (eleparts.co.kr)여기에 보면 센서의 1번핀 : 전원+2번핀 : 센서값 나오는 곳3번핀 : 사용않함4번핀 : 전원- 이라고 나오네요. 정확하게 연결한것인지도 확인해 보시구요. 
123,123,아두이노에서 스텝모터와 QR코드 모듈의 관계,"초음파 거리 센서에서 거리가 인식되면 스텝모터가 한 바퀴 회전하는 코드를 짰습니다.
QR코드 모듈(GM65)을 연결하지 않았을 경우에는 코드대로 초음파 거리 센서에서 거리가 인식되면 스텝모터가 한 바퀴 회전하고 끝이 나지만
여기서 QR코드에 대한 코드를 짜지 않고 QR코드 모듈을 연결만 시켜도 스텝모터가 계속 회전하게 되어서
어떤 이유 때문에 이런 현상이 나타나는 건지 궁금해서 질문 글을 작성하게 되었습니다.

#include <Servo.h>

#include <Stepper.h>
#define STEPS 2037    // 한바퀴를 이루는 스텝 갯수 입력
Stepper stepper(STEPS, 8, 10, 9, 11);  // 고정자 권선 순서 설정
int echo =2;
int trig =4;

int servoPin_1=5;
int servoPin_2=6;
int servoPin_3=7;

Servo servo1;
Servo servo2;
Servo servo3;

int cnt=0;

void setup(){

  stepper.setSpeed(12); // 회전 속도 지정

  pinMode(trig, OUTPUT);
  pinMode(echo, INPUT);
  pinMode(servoPin_1,OUTPUT); //CATCH
  pinMode(servoPin_2,OUTPUT); //ROBOT ARM Y AXIS
  pinMode(servoPin_3,OUTPUT); //ROBOT ARM X AXIS

  servo1.attach(servoPin_1);
  servo1.write(0);
  servo2.attach(servoPin_2);
  servo2.write(45);
  servo3.attach(servoPin_3);
  servo3.write(150);
}

void loop() {

  digitalWrite(trig, HIGH);
  delayMicroseconds(10);
  digitalWrite(trig, LOW);

  unsigned long duration = pulseIn(echo, HIGH);

  float distanceCM = ((34000 * duration) / 1000000) /2;

  if (distanceCM <=10)
  {
    if(cnt>=10)
    {
      stepper.step(STEPS);
      servo2.write(120);
  delay(2000);
     }
    else cnt = cnt +2;
  }
  else
  {
    if(cnt==0)
    {
         }
    else cnt--;
  }
  delay(100);
}","안녕하세요. 다이스랩입니다.코드는 동일한 상태로 QR코드 모듈을 연결하면 이상 동작을 한다고 질문해주셨네요.사용 중인 아두이노 종류(우노, 메가, 나노 등)와 QR코드 모듈 연결을 어떻게 했는지 정보가 없어서 정확한 답변은 어렵지만 추측되는 이유와 테스트 방법을 알려드리겠습니다.현재 초음파센서와 스텝모터에 사용 중인 아두이노 핀과 중복되는 핀으로 QR코드 모듈을 연결하지 않았는지 확인해보세요. 초음파 모듈의 2, 4번핀과 중복되었을 가능성이 있습니다.핀 연결에 문제가 없다면 프로그램에서 디버깅용 프린트 함수를 추가해서 원인을 찾아보세요""distanceCM"" 값 계산 다음 줄에 아래와 같이 시리얼 출력 함수를 추가해서 시리얼 모니터로 초음파센서 거리 값을 확인할 수 있습니다.더 궁금한 내용이 있으시면 저희 다이스랩으로 문의해주세요이메일, 카카오톡 편한 방법으로 연락주시면 됩니다.감사합니다."
124,124,"아두이노 먼지센서, 스텝모터 구동","아두이노로 먼지센서와 스텝모터를 이용해서 일정값 이상이면 모터가 돌아가도록 구동을 하려고 합니다.
아두이노에 대해서 잘 몰라서 받은 코드가 있습니다. 받은 코드에서는 먼지센서와 스텝모터 뿐만 아니라 여러가지 센서들에 대해 조건문이 붙어 있어서 해결을 못하고 있습니다. 도움 부탁드려요..

#define LIMIT_DUST_VALUE 200 // 먼지 센서값이 이보다 크면 창문 닫음
#define LIMIT_RAIN_VALUE 500 // 비가오는지 구분할 센서값 , 미만이면 비 감지
#define LIMIT_GAS_VALUE 200 // 가스가 감지되었는지 구분할 센서값 , 이상이면 가스 감지
#define CDS_VALUE_LIMIT 300 // 밝기센서값이 이보다 크면(어두우면) 창문 닫기

#include <GP2YDustSensor.h>

const uint8_t SHARP_LED_PIN = 10;   // Sharp Dust/particle sensor Led Pin
const uint8_t SHARP_VO_PIN = A5;    // Sharp Dust/particle analog out pin used for reading

GP2YDustSensor dustSensor(GP2YDustSensorType::GP2Y1010AU0F, SHARP_LED_PIN, SHARP_VO_PIN);

#include <SoftwareSerial.h>
SoftwareSerial soft(12, 13);

// 모터 관련 설정
#define STEP_DELAY 2
#define STEP_COUNT 200
#define ENABLE_PIN 6
#define DIR_PIN 5
#define STEP_PIN 4
#define LIMIT_PIN1 7
#define LIMIT_PIN2 8

int window_control = 0; // 0: 수동 , 1:자동
int window_status = 0; // 0 : 정지 , 1 : 열림 , 2 : 닫힘

int prev_window_status = 0; // 창문의 마지막 상태를 저장, 0:알수 없음, 1:열림, 2:닫힘
unsigned long last_step_millis; // 마지막으로 모터를 움직인 시간을 저장
int last_step_pin_status;
int prev_limit_1_status;
int prev_limit_2_status;

#define SENSOR_CHECK_PERIOD 2000 // 온도센서 측정 주기 최소 2000밀리초 이상으로 해야함

// 온도 센서 설정
#include ""DHT.h""
#define DHTPIN 11
#define DHTTYPE DHT11 // 온도 센서의 종류에 따라 DHT11 이나 DHT22

DHT dht(DHTPIN, DHTTYPE);
int8_t humi, temp; // 현재의 습도와 온도를 저장하고 있는 변수
unsigned long dht_prev_readed_millis; // 마지막 온도 측정 시간을 저장
#define LIMIT_TEMP_MAX_VALUE 30 // 더위가 감지되었는지 판단할 기준 온도
#define LIMIT_TEMP_MIN_VALUE 10 // 추위가 감지되었는지 판단할 기준 온도


// 빗물 감지 센서
#define RAIN_SENSOR_PIN A0
int rain_value = 0;

// 가스 감지 센서
#define GAS_SENSOR_PIN A1
int gas_value = 0;

// 조도센서
#define CDS_PIN A2
int cds_value = 0;

// 먼지 센서
int dust_value = 0;

void setup()
{
  Serial.begin(9600);
  soft.begin(9600);

  pinMode(DIR_PIN, OUTPUT);
  pinMode(STEP_PIN, OUTPUT);
  pinMode(ENABLE_PIN, OUTPUT);
  pinMode(LIMIT_PIN1, INPUT);
  pinMode(LIMIT_PIN2, INPUT);

  digitalWrite(ENABLE_PIN, HIGH);
  digitalWrite(DIR_PIN, HIGH);
  last_step_millis = millis();
  prev_limit_1_status = digitalRead(LIMIT_PIN1);
  prev_limit_2_status = digitalRead(LIMIT_PIN2);
  window_status = 0;

  // 온도 센서 초기화
  Serial.println(""DHT SENSOR INIT"");
  dht.begin();

  // 먼지 센서 초기화
  dustSensor.setBaseline(-0.4); // set no dust voltage according to your own experiments
  dustSensor.setCalibrationFactor(1.1); // calibrate against precision instrument
  dustSensor.begin();
}

void loop()
{
  // 센서 읽기
  // 온도 센서 측정
  if ( ( ( millis() - dht_prev_readed_millis ) > SENSOR_CHECK_PERIOD ) && ( window_status == 0 ) ) // 창문이 움직이는 동안은 센서 측정안함
  {
    humi = (int8_t)dht.readHumidity();
    temp = (int8_t)dht.readTemperature();
    dht_prev_readed_millis = millis();
    delay(200);

    // 조도센서 값 읽기
    cds_value = analogRead(CDS_PIN);

    // 빗물 감지 센서
    rain_value = analogRead(RAIN_SENSOR_PIN);

    // 가스 감지 센서
    gas_value = analogRead(GAS_SENSOR_PIN);

    // 먼지 센서
    dust_value = dustSensor.getDustDensity();

    // 센서값 시리얼 모니터 출력
    Serial.println(""###############################"");
    Serial.println(""######  SENSOR VALUE ##########"");
    Serial.println(""###############################"");
    Serial.print(""TEMPERATURE : "");
    Serial.print(temp);
    Serial.println("" DEG"");

    Serial.print(""HUMIDITY : "");
    Serial.print(humi);
    Serial.println("" %"");

    Serial.print(""RAIN : "");
    Serial.print(rain_value);

    if ( rain_value < LIMIT_RAIN_VALUE )
    {
      Serial.println(""(DETECTED)"");
    }
    else
    {
      Serial.println(""(NOT DETECTED)"");
    }

    Serial.print(""GAS : "");
    Serial.print(gas_value);
    if ( gas_value > LIMIT_GAS_VALUE )
    {
      Serial.println(""(DETECTED)"");
    }
    else
    {
      Serial.println(""(NOT DETECTED)"");
    }

    Serial.print(""DUST VALUE :"");
    Serial.println(dust_value);

    // 센서값 블루투스 전송
    soft.write(20);
    soft.write(temp);
    soft.write(humi);
    soft.write(rain_value);
    soft.write(rain_value >> 8);
    soft.write(gas_value);
    soft.write(gas_value >> 8);
    soft.write(cds_value);
    soft.write(cds_value >> 8);
    soft.write(dust_value);
    soft.write(dust_value >> 8);
    soft.write(21);
  }

  if ( soft.available() )
  {
    int ch = soft.read();
    Serial.write(ch);
    if ( ch == 20 )
    {
      delay(50);
      if ( soft.available() )
      {
        ch = soft.read();

        if ( ch == '0' ) // 0 을 수신하면 창문 이동 정지
        {
          window_status = 0;
          window_control = 0; // 창문 제어 명령이 수신된 경우 수동 제어로 전환
          digitalWrite(ENABLE_PIN, HIGH);
          prev_window_status = 0; // 마지막 창문의 상태는 알수 없음
        }
        if ( ch == '1' ) // 1을 수신하면 창문 열기
        {
          window_status = 1;
          window_control = 0; // 창문 제어 명령이 수신된 경우 수동 제어로 전환
          prev_window_status = 0; // 마지막 창문의 상태는 알수 없음
        }
        if ( ch == '2' ) // 2를 수신하면 창문 닫기
        {
          window_status = 2;
          window_control = 0; // 창문 제어 명령이 수신된 경우 수동 제어로 전환
          prev_window_status = 0; // 마지막 창문의 상태는 알수 없음
        }
        if ( ch == '3' ) // 3을 수신하면 창문 제어 자동
        {
          window_control = 1;
          prev_window_status = 0; // 마지막 창문의 상태는 알수 없음
        }
        if ( ch == '4' ) // 4를 수신하면 창문 제어 수동
        {
          window_control = 0;
          prev_window_status = 0; // 마지막 창문의 상태는 알수 없음
        }
      }
    }
  }

  if ( window_control == 1 ) // 자동 제어 모드인 경우
  {
    if ( ( gas_value >= LIMIT_GAS_VALUE ) ) // 가스 값이 크고 창문이 열린 상태가 아니면
    {
      if ( prev_window_status != 1 )
      {
        window_status = 1; // 창문 열기
      }
    }
    else if ( ( rain_value < LIMIT_RAIN_VALUE ) ) // 빗물 센서 값이 크고 창문이 닫힌 상태가 아니면
    {
      if ( prev_window_status != 2 )
      {
        window_status = 2; // 창문 닫기
      }
    }
    else if ( ( dust_value > LIMIT_DUST_VALUE ) ) // 먼제 센서 값이 크고 창문이 닫힌 상태가 아니면
    {
      if ( prev_window_status != 2 )
      {
        window_status = 2; // 창문 닫기
      }
    }
    else if ( ( cds_value > CDS_VALUE_LIMIT ) ) // 어두운 경우 창문 닫기
    {
      if ( prev_window_status != 2 )
      {
        window_status = 2; // 창문 닫기
      }
    }
    else if ( ( temp >= LIMIT_TEMP_MAX_VALUE ) ) // 온도가 높고 창문이 열린 상태가 아니면
    {
      if ( prev_window_status != 1 )
      {
        window_status = 1; // 창문 열기
      }
    }
    else if ( ( temp <= LIMIT_TEMP_MIN_VALUE ) ) // 온도가 낮고 창문이 닫힌 상태가 아니면
    {
      if ( prev_window_status != 2 )
      {
        window_status = 2; // 창문 닫기
      }
    }
    else
    {
      window_status = 0; // 윗 사항이 아닌 경우 창문 정지
    }
  }

  if ( window_status == 1 )
  {
    if ( ( millis() - last_step_millis ) > STEP_DELAY )
    {
      digitalWrite(ENABLE_PIN, LOW);
      digitalWrite(DIR_PIN, HIGH);
      last_step_pin_status = !last_step_pin_status;
      digitalWrite(STEP_PIN, last_step_pin_status);
      last_step_millis = millis();
      int limit_status = digitalRead(LIMIT_PIN1);
      if ( limit_status == LOW ) // LIMIT 스위치가 눌러진 경우
      {
        window_status = 0; // 대기 상태로 변경
        digitalWrite(ENABLE_PIN, HIGH);
        prev_window_status = 1; // 마지막 창문의 상태는 열림 상태
      }
    }
  }

  if ( window_status == 2 )
  {
    if ( ( millis() - last_step_millis ) > STEP_DELAY )
    {
      digitalWrite(ENABLE_PIN, LOW);
      digitalWrite(DIR_PIN, LOW);
      last_step_pin_status = !last_step_pin_status;
      digitalWrite(STEP_PIN, last_step_pin_status);
      last_step_millis = millis();
      int limit_status = digitalRead(LIMIT_PIN2);
      if ( limit_status == LOW ) // LIMIT 스위치가 눌러진 경우
      {
        window_status = 0; // 대기 상태로 변경
        digitalWrite(ENABLE_PIN, HIGH);
        prev_window_status = 2; // 마지막 창문의 상태는 닫힘 상태
      }
    }
  }
}
여기서 먼지센와 스텝모터로만 구동을 하고 싶습니다......","사용할 센서나 연결 장치가 아니면... 그 부분의 정의를 삭제하십시요.예를 들어 #define LIMIT_GAS_VALUE 200 // 가스가 감지되었는지 구분할 센서값 , 이상이면 가스 감지이 부분이 필요 없으면 삭제하고 컴파일 해봅니다. /// 여러군데 에러가 날겁니다.그 에러나는 부분을 확인하여 삭제하거나 일부에 해당하면 그 일부만  삭제합니다.그리고 컴파일 해봅니다.또 에러가 나면 그부분을 처리합니다.소스 전체를 이해하고 작업하는 것이 일반적이나..그러지 못하시면 위와 같이 정의 부분에서 삭제하고 ... 컴파일하고... 오류 확인하여 제거하고..그런식으로 해서 소스를 변경하고..최종으로 남은 부분으로 본인이 필요한 작업을 시작하면 됩니다. "
125,125,아두이노 delay,"void setup()
{
  pinMode(2,OUTPUT);
   pinMode(3,OUTPUT);
}

void loop()
{
  digitalWrite(2,HIGH);
  digitalWrite(3,LOW);
  delay(1000);

  digitalWrite(2,LOW);
  digitalWrite(3,HIGH);
  delay(1000);
  }

LED 2개를 번갈아가면서 0.5초 마다 깜빡 거리게 하는거자나요 
이걸 delay를 한번만 써서 이 동작이 나오게 할 수 있나요?",오류가 나거나 작동되지 않으면 추가질문을 해주세요.digitalToggle() 써보실래요?
126,126,esp32 블루투스 앱 인벤터 코딩 질문 드립니다.,"지금 저렇게 해놓은 상태입니다.
그런데 esp32와 연결을 하려고 하면 error 503: The specfied address is not a valid Bluetooth MAC address라고 뜨며 연결이 되지 않습니다.
물론 폰에 있는 앱 인벤터 앱애 대해 근접통신권한은 부여를 한 상태구요.
뭐가 문제인가요 ","아래 첨부한 이미지의 블록에 문제가 있습니다.(첨부한 이미지가 저화질이라 확대해도 선명하지 않네요.)[지정하기.목록_블루투스.선택된항목.값]에 [호출.블루투스_클라이언트1.연결] 블록 값(참 또는 거짓)을 입력해 버리니 아래 [목록_블루투스.선택된항목]에는 블루투스 연결 주소가 아닌, 다른 값이 들어있어 오류(error 503)가 뜬 것입니다."
127,127,아두이노 i2c 관련 질문,128x64 lcd를 i2c모듈에 연결해서 사용하려하는데 가능한가요? 라이브러리 이름도 알려 주시면 좋구요.,"우선은 님이 사용할 128x64 그래픽 LCD를 확인하세요.  자체적으로 I2C기 지원된다면 아두이노에서 바로 연결해서 제어해주면 됩니다 .따로 I2C 모듈이 필요한것은 아닙니다 .그것이 위와 같이 병렬(4bit 또는 8bit)인 경우는 I2C 모듈로 제어가 가능하느냐... 좀 힘듭니다 .그래픽 LCD는 캐릭터 LCD핀보다 2개가 더 필요합니다 .위의 핀을 보면 캐릭터 LCD에는 없는 CSEL1,2라는 핀이 더 들어갑니다 . 또한 한번 뿌려줘야 할 data가 많아서 4bit mode로는 안됩니다. 결국 위와 같이 전체핀을 아두이노로 모두 연결해서 해줘야 합니다 .아니면 조금 변형해서 I2C모듈을 Data로 모두 연결하고 나머지는 아두이노의 핀으로 직접 제어해면 Port수를 줄일수 있습니다  라이브러리가 있는지 없는지는 모르겠네요. 님이 직접 한번 짜보세요.  나중에 MCU개발쪽으로 한다면 라이브러리를 본인이 직접 짜는 것도 해봐야 합니다 . 아두이노는 Open Source라서 라이브러리를 쉽게 구할수 있지만 실제 제품에 들어가는 MCU는 아두이노를 사용하지 않습니다 .참고하세요."
128,128,아두이노 프로그램 작성 관련 문제 질문 드립니다.,"즉 Rx 저항값을 구하는 프로그램과 Rx=0일때 D5포트에서 LED가 켜지게 하면 되는 프로그램이니
float R0=1000.0;
in k=D5;
void setup(){
Serial.begin(9600);
pinMode(k,OUTPUT);
}
void loop(){
int A=analogRead(A2);
float Rx=R0*A/(1023-A);
if(Rx=0){
digitalWrite(k,High);
}
else{
Serial.print(""Rx="");
Serial.print(Rx);
Serail.println(""옴"");
delay(1000)
}
}
이렇게 짰는데 맞게 구성한걸까요? 틀린 점이나 수정해야 될 부분을 알려주세요!","안녕하세요. 다이스랩입니다.저항 값을 계산해서 시리얼 출력하는 코드가 궁금하시군요.if 비교문에서 같다는 의미는 '==' 와 같이 등호 2개를 사용해야 합니다.아두이노 digitalWrite() 함수에서 HIGH 대문자를 사용해야 합니다.Rx 값이 0이 아닐 경우 켜져있는 LED를 끄기 위해서 else 내부에 LED 끄는 명령을 추가해야겠네요정리하면 아래와 같습니다.더 궁금한 내용이나 연구개발/기술지원 등 도움이 필요하시면 저희 다이스랩으로 문의해주세요이메일, 카카오톡 편한 방법으로 연락주시면 됩니다.감사합니다."
129,129,아두이노 하나에 물 감지센서 여러개 연결,"아두이노 우노에 물 감지센서 여러개 연결하는 방법을 알고 싶습니다.
회로도를 보내주시면 정말 감사하겠습니다.
4개를 연결하고 싶은데 아두이노 우노 1개, 물 감지센서 4개 그리고 LED를 갖고있습니다.
코딩을 통해 어떤 센서가 반응하였는지 출력하고싶습니다.",물 감지센서 어떤걸 사용 하고 계신가요?LED도 4개인가요?
130,130,아두이노 조도 센서 모듈 접촉 불량,"조도센서 모듈을 사용하는데
모듈 뒷면에 납땜 돼있는 부분(파란색 동그라미 친 부분)에 손을 대고 있는 동안만 정상적으로 작동합니다

이유가 대체 뭘까요… 제 생각엔 손을 대야 전기가 흐르는?? 그런 것 같은데 이거 해결할 수 있는 방법 없을까요ㅠㅠ","솔직히 말하자면납땜된 부분의 접촉불량보다는커넥터의 접촉불량 가능성이 더 높습니다.납땜도 납땜이 불량하면 접촉불량이 생기지만요,사진만 딱 봐도 '이건 납땜이 상당히 잘 되었다.'라는게 보이네요.때문에 납땜불량의 가능성은 극히 낮다 평가하고,핀에 연결된 커넥터의 불량이 의심됩니다.손으로 누르면서 반대편의 핀에 영향을 줘서 접촉이 잘 되는 것 같네요."
131,131,아두이노 스텝모터 값 제어,"스텝모터 : A50K-M566-G10(오토닉스)
스텝모터 드라이브 : MD5-HD14(오토닉스)

Stepper 헤더파일 없이 짜집기로 스텝모터 구동하는 코드를 작성했습니다.

이 코드는 시작하면 센서값(1) 이 HIGH 될 때까지 정회전, 센서값(1) HIGH되면 처음 시작 위치로 이동 
시작 위치 이동 후
센서값(2) HIGH 될 때까지 역회전, 센서값(2) HIGH되면 시작 위치로 이동
(센서값(1)+센서값(2)) / 2를 하여 원점으로 이동 합니다.
여기까지는 구동이 됩니다.

여기서 이제 시리얼통신에 10도라는 값을 입력하면 10도 만큼 이동합니다.

그 후 20도로 보내고 싶으면 스텝모터 특성상 20-10 = 10 해서 20도 위치 로 가야하는데

처음 10도 간 후 20을 입력하면 총 30도 위치만큼 갑니다.

예를 들어 처음에 10도를 주고 다시 -10도를 주면 -10도 가야하는데 0으로 갑니다.
어떻게 코딩을 해야 -10도로 갈수 있을까요? 너무 힘듭니다.",그리 어려운 제어가 아닌데그림으로 올라와서 조언 밖에 해드릴 수가  없네요현재 위치를 나타내는 변수를 사용하고목표 위치를 나타내는 변수를 사용하고차이가 날 때 증가 또는 감소해서 같아지도록 스텝모터를 회전시키면 됩니다.
